"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV"
2019-02-01 11:00:00,="MAC030004404",1,"Channel 1",2,"East",1455,0,"",,
2019-02-01 11:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 12:00:00,="MAC030004404",1,"Channel 1",2,"East",1379,0,"",,
2019-02-01 12:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 13:00:00,="MAC030004404",1,"Channel 1",2,"East",1292,0,"",,
2019-02-01 13:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 14:00:00,="MAC030004404",1,"Channel 1",2,"East",1382,0,"",,
2019-02-01 14:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 15:00:00,="MAC030004404",1,"Channel 1",2,"East",1146,0,"",,
2019-02-01 15:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 16:00:00,="MAC030004404",1,"Channel 1",2,"East",934,0,"",,
2019-02-01 16:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 17:00:00,="MAC030004404",1,"Channel 1",2,"East",940,0,"",,
2019-02-01 17:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 18:00:00,="MAC030004404",1,"Channel 1",2,"East",1020,0,"",,
2019-02-01 18:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 19:00:00,="MAC030004404",1,"Channel 1",2,"East",1002,0,"",,
2019-02-01 19:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 20:00:00,="MAC030004404",1,"Channel 1",2,"East",1078,0,"",,
